,Suburb_id,Suburb,Postcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
204,204,Berala,2141.0,Train Station,Middle Eastern Restaurant,Thai Restaurant,Coffee Shop,Asian Restaurant,Cosmetics Shop,Bakery,Pub,Supermarket,
205,205,Berkshire Park,2765.0,,,,,,,,,,
206,206,Berowra,2081.0,Convenience Store,,,,,,,,,
207,207,Berowra Creek,2080.0,,,,,,,,,,
208,208,Berowra Heights,2082.0,Thai Restaurant,Burger Joint,Supermarket,Coffee Shop,Grocery Store,Café,Pizza Place,Shopping Mall,Pub,
209,209,Berowra Waters,2082.0,Seafood Restaurant,Boat or Ferry,Harbor / Marina,,,,,,,
210,210,Berriedale,7011.0,Health & Beauty Service,Pub,Campground,,,,,,,
211,211,Berrilee,2159.0,Stables,,,,,,,,,
212,212,Berrimah,820.0,Pharmacy,Toy / Game Store,Electronics Store,Sandwich Place,,,,,,
213,213,Berrinba,4117.0,,,,,,,,,,
214,214,Berry Springs,838.0,,,,,,,,,,
215,215,Bertram,6167.0,Fast Food Restaurant,Pharmacy,Fish & Chips Shop,Liquor Store,Grocery Store,,,,,
216,216,Berwick,3806.0,Café,Supermarket,Italian Restaurant,Park,Pub,Coffee Shop,Grocery Store,,,
217,217,Bethania,4205.0,Train Station,Coffee Shop,,,,,,,,
218,218,Beulah Park,5067.0,Pub,Café,Bakery,Italian Restaurant,Dessert Shop,Shopping Mall,Asian Restaurant,,,
219,219,Beveridge,3753.0,,,,,,,,,,
220,220,Beverley,5009.0,Pet Store,Hobby Shop,Pub,Snack Place,Lingerie Store,,,,,
221,221,Beverley Park,2217.0,Pizza Place,Park,Dim Sum Restaurant,Golf Course,Restaurant,Sporting Goods Shop,Sports Bar,,,
222,222,Beverly Hills,2209.0,Chinese Restaurant,Japanese Restaurant,Asian Restaurant,Café,Sushi Restaurant,Souvlaki Shop,German Restaurant,Movie Theater,Greek Restaurant,Grocery Store
223,223,Bexley,2207.0,Pub,Fruit & Vegetable Store,Music Store,Convenience Store,,,,,,
224,224,Bexley North,2207.0,Café,Grocery Store,Japanese Restaurant,,,,,,,
225,225,Bibaringa,5118.0,,,,,,,,,,
226,226,Bibra Lake,6163.0,Golf Course,Australian Restaurant,Bus Stop,,,,,,,
227,227,Bickley,6076.0,Australian Restaurant,,,,,,,,,
228,228,Bicton,6157.0,Café,,,,,,,,,
229,229,Bidwill,2770.0,Bar,High School,Convenience Store,,,,,,,
230,230,Big Pats Creek,3799.0,,,,,,,,,,
231,231,Bilgola Beach,2107.0,Beach,Coffee Shop,Pool,Café,,,,,,
232,232,Bilgola Plateau,2107.0,Park,Pizza Place,Convenience Store,Café,,,,,,
233,233,Birchgrove,2041.0,Café,Sushi Restaurant,Pub,Bar,Seafood Restaurant,Middle Eastern Restaurant,Tennis Court,Pizza Place,Tapas Restaurant,Latin American Restaurant
234,234,Birkdale,4159.0,Liquor Store,,,,,,,,,
235,235,Birkenhead,5015.0,Gas Station,Playground,Speakeasy,Historic Site,,,,,,
236,236,Birrong,2143.0,Grocery Store,Concert Hall,Train Station,,,,,,,
237,237,Bittern,3918.0,,,,,,,,,,
238,238,Black Forest,5035.0,Train Station,Dessert Shop,Pizza Place,Sandwich Place,Fried Chicken Joint,Coffee Shop,Asian Restaurant,Indian Restaurant,,
239,239,Black Jungle,822.0,,,,,,,,,,
240,240,Black Rock,3193.0,Fast Food Restaurant,Wine Shop,Fish & Chips Shop,Café,Bakery,,,,,
241,241,Blackburn,3130.0,Café,Indian Restaurant,Train Station,Clothing Store,Park,Coffee Shop,Sandwich Place,Grocery Store,Juice Bar,Japanese Restaurant
242,242,Blackburn North,3130.0,Café,,,,,,,,,
243,243,Blackburn South,3130.0,Bridal Shop,Gift Shop,Park,,,,,,,
244,244,Blackett,2770.0,Fast Food Restaurant,Soccer Field,Gym Pool,,,,,,,
245,245,Blackmans Bay,7052.0,,,,,,,,,,
246,246,Blackmore,822.0,,,,,,,,,,
247,247,Blacksoil,4306.0,,,,,,,,,,
248,248,Blackstone,4304.0,,,,,,,,,,
249,249,Blacktown,2148.0,Fast Food Restaurant,Coffee Shop,Juice Bar,Sandwich Place,Supermarket,Café,Movie Theater,Bowling Alley,Food Court,Big Box Store
250,250,Blackwood,5051.0,Train Station,Café,Supermarket,Burger Joint,,,,,,
251,251,Blair Athol,2560.0,Playground,,,,,,,,,
252,252,Blair Athol,5084.0,Fast Food Restaurant,Gas Station,Sporting Goods Shop,Liquor Store,Bakery,,,,,
253,253,Blairgowrie,3942.0,Home Service,,,,,,,,,
254,254,Blairmount,2559.0,,,,,,,,,,
255,255,Blakehurst,2221.0,Dim Sum Restaurant,Park,Sporting Goods Shop,,,,,,,
256,256,Blakeview,5114.0,Italian Restaurant,Supermarket,Liquor Store,,,,,,,
257,257,Blewitt Springs,5171.0,,,,,,,,,,
258,258,Bligh Park,2756.0,Dance Studio,Martial Arts Dojo,Fishing Store,Pet Store,,,,,,
259,259,Blind Bight,3980.0,,,,,,,,,,
260,260,Bolivar,5110.0,Farmers Market,,,,,,,,,
261,261,Bonbeach,3196.0,Train Station,Deli / Bodega,Beach,Café,,,,,,
262,262,Bondi,2026.0,Café,Park,Pizza Place,Thai Restaurant,Grocery Store,Australian Restaurant,Gas Station,Bus Stop,Gym,Chinese Restaurant
263,263,Bondi Beach,2026.0,Café,Australian Restaurant,Italian Restaurant,Japanese Restaurant,Ice Cream Shop,Restaurant,Beach,Bakery,Resort,Pool
264,264,Bondi Junction,2022.0,Café,Japanese Restaurant,Gym,Noodle House,Sushi Restaurant,Pizza Place,Vegetarian / Vegan Restaurant,Coffee Shop,Mexican Restaurant,Burger Joint
265,265,Boneo,3939.0,Flea Market,,,,,,,,,
266,266,Bongaree,4507.0,Seafood Restaurant,Pier,Fish & Chips Shop,Fish Market,Ice Cream Shop,,,,,
267,267,Bonner,2914.0,Shopping Plaza,Supermarket,,,,,,,,
268,268,Bonnet Bay,2226.0,Deli / Bodega,Gym,,,,,,,,
269,269,Bonnet Hill,7053.0,,,,,,,,,,
270,270,Bonnyrigg,2177.0,Park,Burger Joint,Pizza Place,Fast Food Restaurant,,,,,,
271,271,Bonnyrigg Heights,2177.0,Chinese Restaurant,Soccer Field,Sports Bar,,,,,,,
272,272,Bonython,2905.0,Cupcake Shop,,,,,,,,,
273,273,Booragoon,6154.0,Café,Department Store,Clothing Store,Electronics Store,Supermarket,Sushi Restaurant,Coffee Shop,Pharmacy,Mexican Restaurant,Shopping Mall
274,274,Booval,4304.0,Fast Food Restaurant,Australian Restaurant,Supermarket,Furniture / Home Store,Donut Shop,Seafood Restaurant,,,,
275,275,Boronia,3155.0,Café,Italian Restaurant,Liquor Store,Convenience Store,Pharmacy,Sandwich Place,Fast Food Restaurant,Shopping Mall,Sports Bar,Supermarket
276,276,Boronia Heights,4124.0,Park,,,,,,,,,
277,277,Bossley Park,2176.0,Italian Restaurant,Buffet,Park,Pizza Place,Gym,Bar,,,,
